id,MLM,HLM
TEST_000,34.95459161073683,55.285752708060514
TEST_001,55.25210196075204,68.0559762601346
TEST_002,37.9036400461996,57.01290598514761
TEST_003,31.782769356226993,53.642778086191385
TEST_004,50.18823234322532,62.51319045913062
TEST_005,60.42526495292447,68.50684766948196
TEST_006,11.249975004805622,39.22519288406178
TEST_007,21.959101539139123,37.44980176288536
TEST_008,19.5454909516398,39.18104808707564
TEST_009,10.76311836967444,30.553686964905168
TEST_010,32.165709749497196,48.18610808708439
TEST_011,36.954844721619054,58.01813658241457
TEST_012,60.744163613044506,71.87925803569614
TEST_013,35.764103331701406,52.71381745312079
TEST_014,23.293088156382154,39.02482500012208
TEST_015,65.23793607778741,75.7797408426756
TEST_016,18.35746462824729,28.20737388271127
TEST_017,53.27409365282633,65.25074270279768
TEST_018,66.5476399869101,71.59586627029982
TEST_019,42.84199256846608,57.30203178101344
TEST_020,19.195826111584488,36.67712676338102
TEST_021,16.54533777082885,29.034139006371632
TEST_022,16.63555213457446,34.271078452179154
TEST_023,19.365984753885005,37.49282604672929
TEST_024,22.362546095884635,35.662918738523715
TEST_025,37.64605509413774,51.99851532747002
TEST_026,28.579584285665202,46.52684406183321
TEST_027,50.142486054945294,67.69655456334196
TEST_028,35.166065871448964,49.47920572119057
TEST_029,22.229311293160045,42.68811298284356
TEST_030,35.72511732659121,51.0628831056068
TEST_031,22.668473860034673,37.38494283256562
TEST_032,21.12765083572032,40.36367710530793
TEST_033,33.78467364231836,51.501311257835994
TEST_034,37.20012705120452,54.59981137080189
TEST_035,15.70946371877195,32.135110793779084
TEST_036,36.21497239284288,50.91917095886802
TEST_037,63.83394424401635,71.1847370112771
TEST_038,21.89250429404785,45.0756630454226
TEST_039,34.60161264615047,50.78791462283277
TEST_040,20.51622462028569,35.533124294888395
TEST_041,56.1987317355677,72.9329490422739
TEST_042,23.530295587352494,31.494447000922403
TEST_043,18.81981376666859,41.04902656119687
TEST_044,26.689717318986382,39.58452676385373
TEST_045,62.65144824540687,67.35569440252549
TEST_046,13.54608585609936,34.90489013092217
TEST_047,28.58021041656942,42.50429048930796
TEST_048,39.752080908190436,52.8394209931773
TEST_049,35.52145823228851,49.003220382906555
TEST_050,72.87369061498296,75.35406253467951
TEST_051,28.80420581860239,43.45119021182141
TEST_052,25.265906715532346,43.63197795710385
TEST_053,32.466871548840054,44.74795344714218
TEST_054,22.42032794545313,42.568621252958366
TEST_055,25.57981090558057,51.05376394275653
TEST_056,42.76743278636549,57.380777496733494
TEST_057,33.537360660226256,50.168364249659575
TEST_058,21.772031966091255,34.45439433572008
TEST_059,46.565266026592425,50.24955716870051
TEST_060,24.876484576593036,41.313045595479
TEST_061,39.22731060626276,56.03799656522568
TEST_062,40.29545428071979,62.30661808281761
TEST_063,56.783573813324345,68.89920167814934
TEST_064,46.38389774497128,64.27553127991015
TEST_065,45.010446528763346,60.50922313998629
TEST_066,40.89445985689886,56.74155302869056
TEST_067,34.0418893779258,53.11018087725509
TEST_068,43.06717622647191,61.115168277900395
TEST_069,36.60842143440896,51.480126974774095
TEST_070,28.955128485344957,50.26153829365498
TEST_071,29.710175326635486,51.05603739411772
TEST_072,33.43897101423057,49.34796793426817
TEST_073,51.417750261824466,66.96451851883536
TEST_074,25.493958103825324,42.85647665820992
TEST_075,68.40607589078353,77.61972334223475
TEST_076,45.225422475804145,63.629295721561924
TEST_077,42.15233926776281,53.07699300280647
TEST_078,55.24597506909651,66.5603535246904
TEST_079,39.93059478049077,50.48319287457917
TEST_080,57.22276808831305,68.50740619667975
