id,MLM,HLM
TEST_000,33.80961830963135,55.5395505404663
TEST_001,56.015121849060066,69.6505806854248
TEST_002,35.111806397094725,58.94784014678955
TEST_003,35.55538503250122,55.52852094726562
TEST_004,44.7192865750122,63.7453106954956
TEST_005,53.38564606445313,70.81440080444335
TEST_006,18.90672849460602,39.84106572120666
TEST_007,23.407909158325197,37.47301961364746
TEST_008,23.042835097122193,37.45773500961303
TEST_009,12.27945558971405,28.41431526535034
TEST_010,33.4329194255066,50.742432826232914
TEST_011,38.72779077590942,59.113823287963854
TEST_012,62.9968905291748,75.16893811035155
TEST_013,37.27266681411743,54.2455819857788
TEST_014,24.471234085845946,40.76256253723144
TEST_015,62.86346010223389,78.0966774078369
TEST_016,17.91422738559723,26.0973687084198
TEST_017,48.87925831604004,68.63234903015136
TEST_018,66.83307471466064,73.86931755310059
TEST_019,45.26181429412841,60.35842020355224
TEST_020,20.75404630508423,36.01933027282715
TEST_021,18.52217666305542,30.45308536941528
TEST_022,19.28796580168724,34.66256538398743
TEST_023,22.43370025657654,38.54538234420776
TEST_024,23.511199575347902,36.97012398788452
TEST_025,37.444553253479,53.491182505493164
TEST_026,27.78770783630371,47.33599138854981
TEST_027,49.31552462158203,69.95208059661864
TEST_028,32.94141487075805,52.020854353942866
TEST_029,23.834509462738037,44.540046687622066
TEST_030,34.5597990927124,51.2484170513916
TEST_031,24.363217899780274,38.61857539474488
TEST_032,22.610822184677126,41.036713296203615
TEST_033,34.35706790115356,52.48796351257323
TEST_034,33.455158144226075,57.304724741821275
TEST_035,19.333934185943605,31.155374025726317
TEST_036,34.5747036026001,51.78719429229736
TEST_037,63.847486565856926,73.92595121276855
TEST_038,22.721805375518798,44.74092038024902
TEST_039,34.86603895477295,51.071626784973134
TEST_040,23.73368641342163,33.214649115753176
TEST_041,56.34314930603028,75.31757605102538
TEST_042,20.551147394332887,31.347441755828857
TEST_043,23.90107354560852,40.41370576293945
TEST_044,27.1551467036438,39.687637289123536
TEST_045,55.40731184387207,67.98659528533935
TEST_046,16.296802916479113,35.32482685287476
TEST_047,27.376980847625738,44.67882364105225
TEST_048,40.867485227050786,55.2697296520996
TEST_049,37.31275750167846,50.20495566894531
TEST_050,69.22552903137206,75.88205037109374
